Thibaut 63 400 15,8
Thomas 444 3285 13,5
Tiffany 21 206 10,2
Tiphaine 43 202 21,3
Titouan 66 250 26,4
Tom 165 1227 13,4
Tony 9 206 4,4
Tristan 99 620 16,0
Ugo 39 211 18,5
Valentin 202 1686 12,0
Valentine 170 610 27,9
Victor 190 958 19,8
Victoria 59 311 19,0
Vincent 134 834 16,1
William 46 342 13,5
Yanis 26 356 7,3
Yann 48 400 12,0
Yoann 32 225 14,2
Zoe 174 562 31,0
